uid,capacities_left,end_of_booking_iso_weekday,end_of_booking_time,departure_iso_weekday,departure_time,departure_day,arrival_iso_weekday,arrival_time,arrival_day,total_distance,transit_label,transit_hours,truck_emission_CO2e_WTW_TON,train_emission_CO2e_WTW_TON,train_vs_truck_CO2e_reduction_percent,route_hash_key,text,from_terminal_uid,to_terminal_uid,from_terminal_name,from_terminal_city,from_terminal_country,to_terminal_name,to_terminal_city,to_terminal_country,distance,transit_time_hours,sequence_number,operator_uid,operator_name,container20,container30,container40,container45,swapBody,tankContainer,semiTrailer,nikrasa,bulk,roLa,hazardousGoods
01237fc3-33b8-4847-af25-acb0bcad74cc,True,1,00:00,1,00:00,Monday,1,00:00,Monday,1035.506576559962,0:00:00,0.0,0.84,0.38,54.76190476190476,2b826f92f84d8de797916fafeca6b797,,5c155c2d-d170-4a86-8fae-0bb6c01873a3,5ab1a957-bd3f-4b6f-9192-fedd4aa409c4,Terrabalt Terminal Liepaja,Liepaja,Latvia,TriCon Container Terminal Nürnberg,Nürnberg,Germany,1035.506576559962,0.0,1,d67b4f3a-803e-4840-955a-8d78d63ade00,European Cargo Logistics GmbH (ECL),True,True,True,True,True,True,True,False,False,False,True
01320220-d034-4a35-b488-979097f4d67b,True,1,00:00,1,00:00,Monday,1,00:00,Monday,591.6870772075891,,0.0,0.48,0.13,72.91666666666666,7d3c8f1c23e3b3412ac5fb43efd51ca1,,d5210b42-9b34-41da-b84b-8373512e3e84,f70f9b48-a69a-4009-bde5-6767bc08003b,Vigo,Pontevedra,Spain,Terminal de Contenedores Sevilla La Negrilla,Sevilla,Spain,591.6870772075891,0.0,1,1ec8d7fe-6732-4867-b972-f39edbcf0890,TPnova - Transportes Portuarios SA,False,False,False,False,False,False,False,False,False,False,False
01327329-cf0d-4e34-9ca4-0d0273b48cfc,True,1,00:00,1,00:00,Monday,1,00:00,Monday,1000.3024110900516,0:00:00,0.0,0.73,0.22,69.86301369863014,fb74b64314a4f3afb5404102de966e3a,,5211fcb5-f92c-4c33-971a-6f587cea3a87,c3d3e247-8d61-4832-bc5e-3505e51a4092,Bremerhaven Container Terminal,Bremerhaven,Germany,BILK Kombiterminál Budapest,Budapest,Hungary,1000.3024110900516,0.0,1,18b1d731-ab46-4674-9fa2-1025584a6950,Eurogate Intermodal GmbH (EGIM),True,True,True,True,True,True,False,False,False,False,True
01355193-07e8-4bb3-94c4-e981a89fcd3e,True,1,12:00,1,19:30,Monday,2,05:00,Tuesday,201.20548227448288,9:30:00,9.5,0.1665,0.0021,98.73873873873875,27e8524c2c5d6157fe0ee440d9b7baba,,6a140e13-8a7e-41c5-bb32-868d04877c07,28191671-f16b-435a-a4b6-7b983298ff9d,Lugano Vedeggio,Lugano,Switzerland,Basel Wolf (Hupac/SBB),Basel,Switzerland,201.20548227448288,9.5,1,eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator),False,False,False,False,False,False,True,False,False,False,False
0143230c-13fe-4ded-93e1-4763393cb1bd,True,1,00:00,1,00:00,Monday,1,00:00,Monday,322.72590687939993,0:00:00,0.0,0.275,0.028,89.81818181818181,420134c0fe2597689a0409858fbdf6f1,,39391fee-3b57-4979-aecf-778cda9b4577,59ea2b66-d303-4c2f-9516-752699adb8fb,Terminal de Méditerranée (Fos-sur-Mer),Fos-sur-Mer,France,"Hutchison Ports BEST, Port Barcelona",Barcelona,Spain,322.72590687939993,0.0,1,1ec8d7fe-6732-4867-b972-f39edbcf0890,TPnova - Transportes Portuarios SA,True,True,True,True,True,True,False,False,False,False,True
014e13c8-9903-41f0-999b-f2e737588c89,True,5,09:00,5,13:30,Friday,6,15:00,Saturday,676.2642264940366,"1 day, 1:30:00",25.5,0.56,0.15,73.21428571428571,8ba4d21d555962a59f32d17302c7cdce,P/C 70/400,33296a99-6ec6-4ebe-b581-33314e67b9bd,5bd22aac-de57-425d-8d03-b5fb3638e1aa,Wels Verschiebebahnhof,Wels,Austria,Lübeck Schlutup,Lübeck,Germany,676.2642264940366,25.5,1,b11d141e-38a7-4be1-9d48-9d1cca56caf6,Rail Cargo Operator - Austria GmbH,False,False,False,False,False,False,False,False,False,False,False
0153534c-a882-4da7-8f26-a57a99e305f9,True,2,15:00,2,17:00,Tuesday,3,23:30,Wednesday,633.4769243238932,"1 day, 6:30:00",30.5,0.516,0.036,93.0232558139535,86475b5f0f45da43d686c6e856cbd8bb,,be1030b8-f75b-4bfa-9406-ceee3893eaa9,35b60865-f8ad-4696-8b36-3ce6579cd628,Rail Terminal Chemelot (Geleen),Geleen,Netherlands,Busto Arsizio-Gallarate,Busto Arsizio,Italy,633.4769243238932,30.5,1,a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA,False,True,False,False,False,False,False,False,False,False,False
0162e23f-7fed-4180-b47a-9cff40beacf8,True,5,12:00,5,17:00,Friday,6,08:00,Saturday,584.5723417921663,15:00:00,15.0,0.41,0.1,75.60975609756096,caf633ee727a6152458c73f0adcfbd39,,bee2524a-f8c1-4cc8-b2ad-7914c9293f50,6d9b455a-7cc8-4e71-b0e6-1426db5552f9,Terminal Intermodale Maddaloni-Marcianise,Maddaloni,Italy,Piacenza Intermodale,Piacenza,Italy,584.5723417921663,15.0,1,ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS),True,True,True,True,True,True,False,False,False,False,True
016fbca6-5cf2-4f5b-919f-2b84e8a2eda6,True,4,12:00,5,19:45,Friday,6,04:00,Saturday,399.8838544451125,8:15:00,8.25,0.281,0.08,71.53024911032027,c046fa3d0a4445d9359312b73f148e6e,,677b140f-4b6b-4b5a-8efa-48e61fba3e94,446aa403-e959-45a7-930e-42113290b84b,Industriepark Unna-Nord,Unna,Germany,Berlin Westhafen,Berlin,Germany,399.8838544451125,8.25,1,2c38c5fa-a8ea-4790-a4b6-f244520a6888,DHL Supply Chain Germany & Alps,True,True,True,True,True,True,False,False,False,False,True
0172bcea-38bc-4bbb-b53a-455b6244311d,True,4,15:05,4,17:05,Thursday,5,20:00,Friday,677.5443814766976,"1 day, 2:55:00",26.916666666666668,0.58,0.11,81.0344827586207,511c8cc36ca1e1a23e6d7e58989fc895,,33fffdc0-b524-405a-911b-db7bd84368ff,ed71d2d3-6816-477c-bd95-c7c3e58826a0,Köln-Eifeltor,Köln,Germany,Interporto Quadrante Europa Verona,Verona,Italy,677.5443814766976,26.916666666666668,1,0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG,False,False,False,False,False,False,False,False,False,False,False
